project_a,project_b,winner,winner_name
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",DevTTY Filecoin Mainnet Bootstrap Nodes,project_b,DevTTY Filecoin Mainnet Bootstrap Nodes
Filecoin Client Implementation - Venus,Ancients Research,project_a,Filecoin Client Implementation - Venus
IPFS Public Utilities,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_a,IPFS Public Utilities
Filecoin Community Service -VenusHub,FIL-B (FIL Builders) DX and Community,project_a,Filecoin Community Service -VenusHub
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",IPFS Desktop and Companion,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
CIDgravity Filecoin Gateway,Crossfi,project_a,CIDgravity Filecoin Gateway
Filliquid,Axelar Network,project_b,Axelar Network
Open Source Observer (OSO),Filecoin Spark,project_b,Filecoin Spark
OneForm – SocialCap,BlockseBlock,project_a,OneForm – SocialCap
FIP Editors - Filecoin Improvement Proposal Governance,libp2p Community Architecting and Infra Management,project_a,FIP Editors - Filecoin Improvement Proposal Governance
FilDOS,Boost,project_b,Boost
Old Faithful,Filmint,project_a,Old Faithful
Filecoin Address Drainer,MechaFIL-JAX,project_b,MechaFIL-JAX
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,Multichain Storage,project_b,Multichain Storage
go-libp2p,iso-filecoin,project_a,go-libp2p
Filecoin Ledger App & Installation Hub,Filscan Explorer,project_b,Filscan Explorer
Lily: blockchain data extraction for Filecoin,B<>rder/ess Developers Program,project_a,Lily: blockchain data extraction for Filecoin
NanoDC Project,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,NanoDC Project
Cuview,Filecoin BigQuery Data Repository,project_b,Filecoin BigQuery Data Repository
ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),Asia-SPWG,project_b,Asia-SPWG
SealGuard,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,SealGuard
Curio Smart Cordon & Restart System,Safe on Filecoin,project_a,Curio Smart Cordon & Restart System
Meet with Huddle01,Forest,project_b,Forest
The Epoch Clock,MYRAD,project_b,MYRAD
FilPunks,Filecoin FIPs Tracker,project_b,Filecoin FIPs Tracker
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Filecoin Data Portal,project_b,Filecoin Data Portal
FIP 100 Research & Development,Filecoin Slack Community Admin,project_a,FIP 100 Research & Development
Storacha-Solana-SDK,OrbitChina,project_b,OrbitChina
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,witnesschain,project_a,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,Forest Explorer,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Helia,filecoin-checker,project_a,Helia
Filecoin Orbit Bootcamp Africa,Lighthouse,project_b,Lighthouse
FilOz – Advancing the Filecoin Protocol,CalibrationNet Stability Project,project_a,FilOz – Advancing the Filecoin Protocol
Boxo and Kubo,Eastore,project_a,Boxo and Kubo
Chain.Love,Filet Finance,project_a,Chain.Love
ND Labs,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_b,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
FILCAPETOWN,Silvi: IPFS-Powered Biodiversity Infrastructure,project_b,Silvi: IPFS-Powered Biodiversity Infrastructure
Curio Snark Market,Cyberport Data Integration,project_a,Curio Snark Market
Forest Archive,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_b,IPFS及Filecoin价值资讯传递（南山居士Hill）
filsnap,Filosign,project_a,filsnap
Metrics for the Filecoin P2P network health,Beryx Filecoin API,project_b,Beryx Filecoin API
OpenEdStore Decentralized Educational Storage Platform,Filecoin Orbit Uganda,project_b,Filecoin Orbit Uganda
Beryx Filecoin Explorer,Lynx – Storage Provider Retrieval Analytics Platform,project_b,Lynx – Storage Provider Retrieval Analytics Platform
Secured Finance,GainForest: The world’s first community-owned data commons for nature impact,project_a,Secured Finance
Keypo,MUSE,project_a,Keypo
ETHAccra,chainfee,project_b,chainfee
Drips,fil-miner-info.safematrix,project_a,Drips
Filecoin Beam,FIL LAGOS,project_a,Filecoin Beam
MetaEra,Retrieval Tester,project_b,Retrieval Tester
Blockscout Open Source Filecoin Explorer,WarmWeb,project_a,Blockscout Open Source Filecoin Explorer
Filecoin Nigeria,FIL RetroPGF Data Analysis & Round Modeling,project_b,FIL RetroPGF Data Analysis & Round Modeling
boxo-starter-kit,4EVERLAND,project_b,4EVERLAND
ETH-FIL swap,Curio APT Repository (Filecoin APT),project_b,Curio APT Repository (Filecoin APT)
Curio Storage,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_a,Curio Storage
OP Medicine – Filecoin-Powered Healthcare Infrastructure,Filecoin Community Services,project_b,Filecoin Community Services
UCAN,Filecoin Kenya Community,project_a,UCAN
Curio Dashboard,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
万佳社区,CIDgravity Nextcloud App,project_a,万佳社区
Root Key Holder management portal,Fil Implementers WG - Cross-Client Coordination and Governance,project_a,Root Key Holder management portal
DevTTY Filecoin Mainnet Bootstrap Nodes,Spacescope: API service for the Filecoin ecosystem,project_b,Spacescope: API service for the Filecoin ecosystem
Ancients Research,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_b,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,FIL-B (FIL Builders) DX and Community,project_b,FIL-B (FIL Builders) DX and Community
IPFS Desktop and Companion,IPFS Public Utilities,project_b,IPFS Public Utilities
Filecoin Community Service -VenusHub,Crossfi,project_a,Filecoin Community Service -VenusHub
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",Filliquid,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Filecoin Spark,CIDgravity Filecoin Gateway,project_a,Filecoin Spark
BlockseBlock,Axelar Network,project_b,Axelar Network
libp2p Community Architecting and Infra Management,Open Source Observer (OSO),project_b,Open Source Observer (OSO)
OneForm – SocialCap,FilDOS,project_a,OneForm – SocialCap
Filmint,FIP Editors - Filecoin Improvement Proposal Governance,project_b,FIP Editors - Filecoin Improvement Proposal Governance
Boost,MechaFIL-JAX,project_b,MechaFIL-JAX
Old Faithful,Multichain Storage,project_b,Multichain Storage
Filecoin Address Drainer,iso-filecoin,project_b,iso-filecoin
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,Filscan Explorer,project_b,Filscan Explorer
go-libp2p,B<>rder/ess Developers Program,project_a,go-libp2p
NanoDC Project,Filecoin Ledger App & Installation Hub,project_b,Filecoin Ledger App & Installation Hub
Lily: blockchain data extraction for Filecoin,Cuview,project_a,Lily: blockchain data extraction for Filecoin
FileScope AI: Blockchain-Powered Dataset Analysis Platform,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_b,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption)
Guide To Filecoin - Easing the Transition to Filecoin.,Filecoin BigQuery Data Repository,project_b,Filecoin BigQuery Data Repository
Asia-SPWG,Safe on Filecoin,project_b,Safe on Filecoin
SealGuard,Meet with Huddle01,project_b,Meet with Huddle01
The Epoch Clock,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
Forest,Filecoin FIPs Tracker,project_a,Forest
MYRAD,JZFS - Building Data Hub-and-Spoke Model with Filecoin,project_a,MYRAD
FIP 100 Research & Development,FilPunks,project_a,FIP 100 Research & Development
OrbitChina,Filecoin Data Portal,project_b,Filecoin Data Portal
Filecoin Slack Community Admin,witnesschain,project_a,Filecoin Slack Community Admin
Storacha-Solana-SDK,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_b,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Helia,project_b,Helia
Forest Explorer,Filecoin Orbit Bootcamp Africa,project_a,Forest Explorer
filecoin-checker,CalibrationNet Stability Project,project_b,CalibrationNet Stability Project
Boxo and Kubo,Lighthouse,project_a,Boxo and Kubo
Filet Finance,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
ND Labs,Eastore,project_b,Eastore
FILCAPETOWN,Chain.Love,project_b,Chain.Love
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,Curio Snark Market,project_b,Curio Snark Market
IPFS及Filecoin价值资讯传递（南山居士Hill）,Silvi: IPFS-Powered Biodiversity Infrastructure,project_a,IPFS及Filecoin价值资讯传递（南山居士Hill）
Cyberport Data Integration,Filosign,project_a,Cyberport Data Integration
Forest Archive,Beryx Filecoin API,project_a,Forest Archive
Filecoin Orbit Uganda,filsnap,project_b,filsnap
Metrics for the Filecoin P2P network health,Lynx – Storage Provider Retrieval Analytics Platform,project_b,Lynx – Storage Provider Retrieval Analytics Platform
GainForest: The world’s first community-owned data commons for nature impact,OpenEdStore Decentralized Educational Storage Platform,project_a,GainForest: The world’s first community-owned data commons for nature impact
Beryx Filecoin Explorer,Keypo,project_a,Beryx Filecoin Explorer
Secured Finance,ETHAccra,project_a,Secured Finance
fil-miner-info.safematrix,MUSE,project_a,fil-miner-info.safematrix
Filecoin Beam,chainfee,project_b,chainfee
Drips,Retrieval Tester,project_a,Drips
FIL LAGOS,WarmWeb,project_b,WarmWeb
MetaEra,FIL RetroPGF Data Analysis & Round Modeling,project_b,FIL RetroPGF Data Analysis & Round Modeling
Blockscout Open Source Filecoin Explorer,boxo-starter-kit,project_a,Blockscout Open Source Filecoin Explorer
Curio APT Repository (Filecoin APT),Filecoin Nigeria,project_b,Filecoin Nigeria
4EVERLAND,Curio Storage,project_b,Curio Storage
Filecoin Community Services,ETH-FIL swap,project_a,Filecoin Community Services
UCAN,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_a,UCAN
OP Medicine – Filecoin-Powered Healthcare Infrastructure,Curio Dashboard,project_a,OP Medicine – Filecoin-Powered Healthcare Infrastructure
CIDgravity Nextcloud App,Filecoin Kenya Community,project_b,Filecoin Kenya Community
Filecoin Deal Tool - Droplet,Fil Implementers WG - Cross-Client Coordination and Governance,project_a,Filecoin Deal Tool - Droplet
万佳社区,DevTTY Filecoin Mainnet Bootstrap Nodes,project_b,DevTTY Filecoin Mainnet Bootstrap Nodes
Root Key Holder management portal,Ancients Research,project_a,Root Key Holder management portal
Spacescope: API service for the Filecoin ecosystem,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.","Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_a,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
IPFS Desktop and Companion,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_a,IPFS Desktop and Companion
FIL-B (FIL Builders) DX and Community,Crossfi,project_a,FIL-B (FIL Builders) DX and Community
IPFS Public Utilities,Filliquid,project_a,IPFS Public Utilities
Filecoin Spark,Filecoin Community Service -VenusHub,project_a,Filecoin Spark
BlockseBlock,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
CIDgravity Filecoin Gateway,libp2p Community Architecting and Infra Management,project_a,CIDgravity Filecoin Gateway
FilDOS,Axelar Network,project_b,Axelar Network
Filmint,Open Source Observer (OSO),project_b,Open Source Observer (OSO)
OneForm – SocialCap,MechaFIL-JAX,project_b,MechaFIL-JAX
Multichain Storage,FIP Editors - Filecoin Improvement Proposal Governance,project_b,FIP Editors - Filecoin Improvement Proposal Governance
iso-filecoin,Boost,project_b,Boost
Old Faithful,Filscan Explorer,project_b,Filscan Explorer
B<>rder/ess Developers Program,Filecoin Address Drainer,project_a,B<>rder/ess Developers Program
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,NanoDC Project,project_a,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
go-libp2p,Cuview,project_a,go-libp2p
Filecoin Ledger App & Installation Hub,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,Filecoin Ledger App & Installation Hub
Lily: blockchain data extraction for Filecoin,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,Lily: blockchain data extraction for Filecoin
Safe on Filecoin,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,Safe on Filecoin
Meet with Huddle01,Filecoin BigQuery Data Repository,project_b,Filecoin BigQuery Data Repository
The Epoch Clock,Asia-SPWG,project_b,Asia-SPWG
SealGuard,Filecoin FIPs Tracker,project_a,SealGuard
Curio Smart Cordon & Restart System,JZFS - Building Data Hub-and-Spoke Model with Filecoin,project_a,Curio Smart Cordon & Restart System
FIP 100 Research & Development,Forest,project_a,FIP 100 Research & Development
MYRAD,OrbitChina,project_b,OrbitChina
FilPunks,witnesschain,project_b,witnesschain
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,Filecoin Data Portal,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Helia,Filecoin Slack Community Admin,project_a,Helia
Storacha-Solana-SDK,Filecoin Orbit Bootcamp Africa,project_b,Filecoin Orbit Bootcamp Africa
CalibrationNet Stability Project,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_b,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Forest Explorer,Boxo and Kubo,project_b,Boxo and Kubo
Filet Finance,filecoin-checker,project_a,Filet Finance
Lighthouse,ND Labs,project_a,Lighthouse
FILCAPETOWN,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
